Industry Vertical,Sub Vertical,City  Location,Investors Name,Investment Type,Amount in USD
E-Tech,E-learning,Bengaluru,"General Atlantic, Prosus, Peak XV, Sofina, Chan Zuckerberg Initiative, and Verlinvest",Private Equity Round,"40,00,00,000"
Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,"1,00,48,394"
E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,"3,83,58,860"
FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,"30,00,000"
Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,"18,00,000"
Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,"90,00,000"
Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,"15,00,00,000"
Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,"60,00,000"
E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,"7,00,00,000"
Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,"5,00,00,000"
Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,"2,00,00,000"
B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,"1,20,00,000"
E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,"3,00,00,000"
Finance,Non-Banking Financial Company,Mumbai,,Debt Funding,"59,00,000"
Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,"20,00,000"
Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,"5,00,00,000"
E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,"23,10,00,000"
Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,"15,00,00,000"
Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,"4,86,000"
Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,"15,00,000"
Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,undisclosed
Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,"1,20,00,000"
B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,"2,60,00,000"
FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,"1,74,11,265"
Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,"13,00,000"
SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,"13,50,00,000"
Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,"3,00,000"
E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,"22,00,00,000"
Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,"1,58,00,000"
Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,"28,30,00,000"
Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,,"20,00,00,000"
FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,"1,00,00,00,000"
Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,"4,50,00,000"
B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,"58,50,00,000"
Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,unknown
FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,"45,00,000"
FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,"33,00,000"
"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,"60,00,000"
SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,"50,00,000"
IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,"1,80,00,000"
Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,"10,00,000"
Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,"1,00,00,000"
Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,"45,00,00,000"
